_id,draft_year,birthYear,height,salary,PER,PTS,TS%,MP,OWS,DWS,WS/48,FG%,AST,T,draft_team_Atlanta Hawks,draft_team_Boston Celtics,draft_team_Charlotte Bobcats,draft_team_Charlotte Hornets,draft_team_Chicago Bulls,draft_team_Cleveland Cavaliers,draft_team_Dallas Mavericks,draft_team_Denver Nuggets,draft_team_Detroit Pistons,draft_team_Golden State Warriors,draft_team_Houston Rockets,draft_team_Indiana Pacers,draft_team_Kansas City Kings,draft_team_Los Angeles Clippers,draft_team_Los Angeles Lakers,draft_team_Memphis Grizzlies,draft_team_Miami Heat,draft_team_Milwaukee Bucks,draft_team_Minnesota Timberwolves,draft_team_New Jersey Nets,draft_team_New Orleans Hornets,draft_team_New Orleans Pelicans,draft_team_New Orleans/Oklahoma City Hornets,draft_team_New York Knicks,draft_team_Oklahoma City Thunder,draft_team_Orlando Magic,draft_team_Philadelphia 76ers,draft_team_Phoenix Suns,draft_team_Portland Trail Blazers,draft_team_Sacramento Kings,draft_team_San Antonio Spurs,draft_team_San Diego Clippers,draft_team_Seattle SuperSonics,draft_team_Toronto Raptors,draft_team_Utah Jazz,draft_team_Vancouver Grizzlies,draft_team_Washington Bullets,draft_team_Washington Wizards,position_Center,position_Point Guard,position_Power Forward,position_Shooting Guard,position_Small Forward
antetgi01,2013.0,1994.0,211.0,2153785.25,17.625,1184.25,0.5587500000000001,2526.5,3.6,3.125,0.11975,0.483,284.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
anthogr01,1991.0,1967.0,183.0,1269000.0,14.180000000000001,574.6,0.4997999999999999,1648.4,1.44,2.56,0.1182,0.40619999999999995,342.6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
araujra01,2004.0,1980.0,211.0,2238960.0,6.633333333333333,129.66666666666666,0.4466666666666667,528.3333333333334,-0.5666666666666668,0.46666666666666673,-0.007666666666666668,0.405,13.666666666666666,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
armsthi01,2006.0,1984.0,211.0,1988343.2,8.2,101.8,0.45949999999999996,410.4,-0.11000000000000001,0.4999999999999999,0.012899999999999998,0.43900000000000006,13.2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
augmost01,1991.0,1968.0,203.0,1447100.0,15.88,1071.2,0.5442,2375.6,3.02,2.54,0.11079999999999998,0.4888,178.4,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
augusdj01,2008.0,1987.0,206.0,2774262.0,13.419999999999998,684.8,0.5328,1754.2,2.3400000000000003,1.16,0.0916,0.39160000000000006,283.6,True,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
aventan01,1991.0,1969.0,206.0,700000.0,9.083333333333332,376.1666666666667,0.436,1279.8333333333333,-0.9,1.1500000000000001,0.013166666666666669,0.3948333333333333,55.166666666666664,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
averywi01,1999.0,1979.0,188.0,1286200.0,7.033333333333334,126.33333333333333,0.41133333333333333,401.6666666666667,-0.5,0.19999999999999998,-0.03866666666666667,0.32666666666666666,66.33333333333333,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
baglejo01,1982.0,1960.0,183.0,269666.6666666667,14.433333333333332,827.6666666666666,0.49466666666666664,2351.6666666666665,1.2,2.1999999999999997,0.06966666666666667,0.44566666666666666,603.6666666666666,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
baileth01,1983.0,1961.0,211.0,344666.6666666667,15.333333333333334,1337.3333333333333,0.5263333333333334,2547.6666666666665,1.7666666666666668,3.633333333333333,0.10033333333333333,0.4766666666666666,149.66666666666666,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
bakervi01,1993.0,1971.0,211.0,2705134.6,18.32,1499.2,0.5362,3068.6,4.16,2.82,0.11000000000000001,0.5039999999999999,206.8,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
banksma01,2003.0,1981.0,188.0,2650568.3333333335,12.255555555555556,300.77777777777777,0.5405555555555556,796.1111111111111,0.3111111111111111,0.711111111111111,0.060111111111111115,0.4396666666666667,105.77777777777777,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
barneha02,2012.0,1992.0,190.0,6952405.6,12.559999999999999,921.0,0.537,2285.0,2.12,2.34,0.09380000000000001,0.4508,112.8,True,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
barrybr01,1995.0,1971.0,198.0,1799794.2857142857,14.114285714285714,551.5714285714286,0.5571428571428572,1442.7142857142858,2.1,0.9571428571428572,0.09814285714285716,0.4231428571428571,156.71428571428572,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
battish01,2001.0,1978.0,203.0,3044024.4,14.74,832.0,0.5576,2556.4,4.0,2.7600000000000002,0.12940000000000002,0.45759999999999995,136.8,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
battito01,1997.0,1976.0,211.0,2703160.0,14.719999999999999,438.0,0.5329999999999999,1359.2,1.52,1.6800000000000002,0.11380000000000001,0.504,45.4,True,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bayleje01,2008.0,1988.0,190.0,2436674.285714286,12.842857142857143,458.0,0.5171428571428571,1060.142857142857,1.042857142857143,0.7285714285714285,0.06157142857142857,0.40285714285714286,166.28571428571428,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bedfowi01,1986.0,1963.0,213.0,743750.0,12.25,186.5,0.473,430.0,0.15,0.65,0.076,0.437,18.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bendejo01,1999.0,1981.0,211.0,3233757.0,10.959999999999999,257.8,0.4974,688.2,0.12,0.6599999999999999,0.0318,0.40540000000000004,29.6,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
berrywa01,1986.0,1964.0,203.0,306250.0,14.525000000000002,622.5,0.5479999999999999,1158.0,1.175,0.875,0.08075,0.51975,66.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
biedran01,2004.0,1986.0,211.0,3441755.2,16.580000000000002,536.2,0.597,1541.4,2.9,1.9799999999999998,0.15020000000000003,0.6035999999999999,64.0,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
biyombi01,2011.0,1992.0,206.0,3145855.6,12.820000000000002,338.6,0.5443999999999999,1552.8,1.06,1.9600000000000002,0.1012,0.5222,23.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
blackro01,1981.0,1959.0,198.0,358053.0,18.35,1680.0,0.571,2810.5,6.0,1.1,0.122,0.511,280.0,True,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
blaylmo01,1989.0,1967.0,183.0,847500.0,16.25,1050.0,0.48050000000000004,2717.0,2.725,3.3499999999999996,0.10475000000000001,0.422,598.25,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
